Number	Address	CrimeType	Date	Time
16-OPD-1002	24 W VINE ST	Burglary - Purpose To Commit Theft Offense Or Felony	5/17/16	3:27:00PM
16-OPD-1007	17 W COLLINS ST	Breaking And Entering	5/18/16	11:19:00AM
16-OPD-1008	36 E HIGH ST	Assault - Knowingly Harm Victim	5/18/16	12:57:00PM
16-OPD-1009	15 APPLEWOOD CIR	Misuse Of Credit Card	5/25/16	12:00:00AM
16-OPD-1010	5032 COLLEGE CORNER PIKE	Felonious Assault - Victim Seriously Harmed	5/18/16	8:20:00PM
16-OPD-1011	5032 COLLEGE CORNER PIKE	Blauvelt Matthew R	5/18/16	9:45:00PM
16-OPD-1012	300 S. Poplar	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	5/19/16	11:49:00AM
16-OPD-1014	5032 COLLEGE CORNER PIKE	"GROSS SEXUAL IMPOSITION, VICTIM < 12"	5/19/16	3:35:00PM
16-OPD-1015	4403 KEHR RD	Burglary	5/19/16	5:26:00PM
16-OPD-1018	36 LYNN ST	Theft - 23H	5/21/16	1:04:00AM
16-OPD-1019	5032 COLLEGE CORNER PIKE	Domestic Violence - knowingly cause physical harm	5/23/16	12:00:00AM
16-OPD-1021	35 VICKI ANDA CT	Domestic Violence - knowingly cause physical harm	5/22/16	3:00:00AM
16-OPD-1022	5279 COLLEGE CORNER PIKE	Theft - 23F	5/22/16	2:14:00PM
16-OPD-1024	5032 College Corner Pike	Theft -Without Consent - 23D	5/23/16	2:58:00PM
16-OPD-1025	315 S. LOCUST ST.	Possession of Drugs_marijuana	5/23/16	2:39:00PM
16-OPD-1026	620 BRILL DR	Misuse Of Credit Card	5/24/16	12:37:00PM
16-OPD-1027	300 S LOCUST ST	Theft -Without Consent	5/24/16	12:45:00PM
16-OPD-1028	5720 COLLEGE CORNER PIKE	Theft -Without Consent	5/24/16	4:27:00PM
16-OPD-1030	4306 KEHR RD	unspecified	5/24/16	7:33:00PM
16-OPD-1034	24 East High Street	Theft -Without Consent	5/26/16	10:50:00AM
16-OPD-1037	5032 COLLEGE CORNER PIKE	Criminal Trespass	5/26/16	6:30:00PM
16-OPD-1041	4975 COLLEGE CORNER PIKE	Theft - 23F	5/27/16	3:09:00PM
16-OPD-1042	5032 COLLEGE CORNER PIKE	Theft - 23F	5/27/16	10:27:00PM
16-OPD-1043	9 W ROSE AV	unspecified	5/27/16	4:13:00PM
16-OPD-1044	5032 College Corner Pike	Theft -Beyond Expression/Implied Consent	5/24/16	7:00:00PM
16-OPD-1046	118 E CHURCH ST	Criminal Damaging/Endangering - Knowingly Any Means	6/21/16	12:00:00AM
16-OPD-1047	6025 FAIRFIELD RD	unspecified	6/2/16	12:00:00AM
16-OPD-1048	311 THATCHER LOOP	Burglary	5/29/16	8:29:00PM
16-OPD-1050	9 E SYCAMORE ST	unspecified	5/31/16	12:49:00PM
16-OPD-1051	1007 ARROWHEAD DR	Burglary - Purpose To Commit Theft Offense Or Felony	5/31/16	2:30:00PM
16-OPD-1052	3770 SOUTHPOINTE PKWY	Misuse Of Credit Card	5/31/16	2:56:00PM
16-OPD-1053	5301 UNIVERSITY PARK Blvd	Breaking And Entering - Commit Felony/Land Premises Of Anoth	5/31/16	10:45:00PM
16-OPD-1054	36 E HIGH ST	Theft -Without Consent	6/1/16	2:50:00PM
16-OPD-1055	5055 COLLEGE CORNER PIKE	Theft -Without Consent - 23C	6/1/16	8:58:00PM
16-OPD-1056	5032 College Corner Pike	Theft -Without Consent	6/2/16	11:26:00AM
16-OPD-1058	41 VICKI ANDA CT	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	6/2/16	7:36:00PM
16-OPD-1060	118 HOMESTEAD AV	unspecified	6/3/16	6:34:00AM
16-OPD-1061	6801 FAIRFIELD RD	Vandalism	6/3/16	9:16:00AM
16-OPD-1062	21 LYNN ST	Theft -Without Consent	6/3/16	1:51:00PM
16-OPD-1063	317 W CHESTNUT ST	Domestic Violence - cause belief of imminent physical harm b	6/3/16	5:49:00PM
16-OPD-1064	30 Reagh Way	Burglary - Purpose To Commit Theft Offense Or Felony	6/3/16	8:50:00PM
16-OPD-1066	5032 COLLEGE CORNER PIKE	"Possessing Drug Abuse Instrument - obtain, use"	6/3/16	7:58:00PM
16-OPD-1067	6 W WALNUT ST	Theft - motor vehicle	6/4/16	5:10:00PM
16-OPD-1068	2 LYNN ST	Driving While Under the Influence of Alcohol/Drugs	6/5/16	2:19:00AM
16-OPD-1069	6230 FAIRFIELD RD	Theft -Without Consent	6/5/16	11:23:00AM
16-OPD-1071	5720 COLLEGE CORNER PIKE	Criminal Damaging/Endangering	6/5/16	7:27:00PM
16-OPD-1073	314 S POPLAR ST	Theft -Deception	6/7/16	5:43:00PM
16-OPD-1074	5201 COLLEGE CORNER PIKE	Theft - 23H	6/7/16	6:46:00PM
16-OPD-1075	101 PLUM STREET	Theft - 23H	6/7/16	8:04:00PM
16-OPD-1076	2006 OXFORD COMMONS	Domestic Violence - knowingly cause physical harm	6/8/16	12:54:00AM
16-OPD-1078	5055 COLLEGE CORNER PIKE	Aggravated Robbery	6/8/16	3:28:00PM
16-OPD-1080	900 TOLLGATE DR	Theft -Beyond Expression/Implied Consent	6/8/16	5:52:00PM
16-OPD-1081	5055 COLLEGE CORNER PIKE	Driving While Under the Influence of Alcohol/Drugs	6/8/16	6:02:00PM
16-OPD-1083	5041 RED CLOUD CT	Menacing	6/10/16	12:00:00AM
16-OPD-1084	104 LANTERN RIDGE RD	Criminal Trespass - Restricted Area	6/9/16	11:06:00PM
16-OPD-1085	315 S LOCUST ST	unspecified	6/10/16	10:56:00AM
16-OPD-1086	925 COLLINS RUN RD	unspecified	6/10/16	10:57:00AM
16-OPD-1087	5041 RED CLOUD CT	Violate Protection Order or Consent Agreement	6/10/16	9:28:00PM
16-OPD-1088	520 LINCOLN ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	6/11/16	2:41:00AM
16-OPD-1089	300 S LOCUST ST	Criminal Trespass - Land Premises Of Another	6/11/16	2:21:00PM
16-OPD-1090	524 S. College Ave.	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	6/11/16	4:00:00PM
16-OPD-1091	313 N POPLAR ST	Burglary	6/11/16	8:56:00PM
16-OPD-1092	100 S ELM ST	Drunkenness	6/12/16	8:30:00AM
16-OPD-1093	101 ARDMORE DR	Possession of Drugs	6/12/16	4:17:00PM
16-OPD-1094	900 TOLLGATE DR	unspecified	6/12/16	10:48:00PM
16-OPD-1095	5032 College Corner Pike	Drug Paraphernalia	6/8/16	5:45:00PM
16-OPD-1096	601 S LOCUST ST	unspecified	6/14/16	8:32:00PM
16-OPD-1098	308 S CAMPUS AV	Reihs Robert W	6/15/16	5:36:00PM
16-OPD-1100	11 S POPLAR ST	unspecified	6/16/16	7:32:00PM
16-OPD-1101	3770 SOUTHPOINTE PKWY	Theft - 23H	6/17/16	12:11:00AM
16-OPD-1103	5115 COLLEGE CORNER PIKE	MAKING TERRORIST THREATS	6/17/16	5:29:00PM
16-OPD-1104	ROBERTS DR // KEHR RD	Open Liquor Container - public place	6/17/16	10:58:00PM
16-OPD-1106	912 ARROWHEAD DR	Misuse Of Credit Card	6/18/16	2:19:00PM
16-OPD-1110	21 LYNN ST	Criminal Mischief	6/18/16	9:52:00PM
16-OPD-1111	344 N LOCUST ST	Theft -Without Consent	6/19/16	10:31:00AM
16-OPD-1112	420 S CAMPUS AV	Theft -Without Consent	6/19/16	2:04:00PM
16-OPD-1114	6723 RINGWOOD RD	Theft -Without Consent	6/20/16	3:09:00PM
16-OPD-1116	302 N MAIN ST	Theft -Without Consent	6/23/16	12:00:00AM
16-OPD-1117	1008 ARROWHEAD DR	Lindner Robert F	6/23/16	10:12:00AM
16-OPD-1118	218 W VINE ST	Theft - 23F	6/23/16	2:34:00PM
16-OPD-1119	300-BLK S COLLEGE AV	Possession of Drugs_marijuana	6/23/16	4:51:00PM
16-OPD-1120	5720 COLLEGE CORNER PIKE	unspecified	6/23/16	7:43:00PM
16-OPD-1121	W SYCAMORE ST // LINCOLN ST	"Possessing Drug Abuse Instrument - obtain, use"	6/23/16	9:38:00PM
16-OPD-1122	27 APPLEWOOD CIR	Theft - 23H	6/24/16	6:05:00AM
16-OPD-1123	5262 BROWN RD	Theft - 23H	6/24/16	6:47:00AM
16-OPD-1124	409 LINCOLN ST	Theft - 23F	6/24/16	6:35:00AM
16-OPD-1125	5720 COLLEGE CORNER PIKE	Obstructing Official Business	6/24/16	12:30:00PM
16-OPD-1127	0-BLK N MAIN ST	Driving While Under the Influence of Alcohol/Drugs	6/25/16	3:52:00AM
16-OPD-1128	5097 COLLEGE CORNER PIKE	Criminal Trespass	6/25/16	6:28:00PM
16-OPD-1129	0 S COLLEGE AV	Disorderly Conduct - intoxicated annoy or alarm	6/26/16	3:01:00AM
16-OPD-1130	130 NORTHRIDGE DR	Theft - 23F	6/24/16	7:41:00AM
16-OPD-1131	411 MAXINE DR	Criminal Mischief	7/1/16	2:00:00PM
16-OPD-1133	11 S POPLAR ST	Domestic Violence - knowingly cause physical harm	6/27/16	4:31:00PM
16-OPD-1136	5046 COLLEGE CORNER PIKE	Assault - Knowingly Harm Victim	6/28/16	12:01:00PM
